DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
145920,5220.59,2622.5,6421.2,6481.01,4846.76,7076.9
146432,5087.75,2648.07,6455.64,6535.4,4755.12,7084.44
146944,5124.95,2645.29,6466.26,6473.43,4865.86,7123.66
147456,5141.31,2682.86,6643.28,6517.66,4904.61,7133.98
147968,5129.15,2717.06,6537.87,6860.82,4849.92,7075.48
148480,5129,2637.1,6497.87,6560.49,4911.26,7119.95
148992,5170.66,2701.33,6496.43,6575.8,4858.1,7276.21
149504,5106.67,2875.49,6569.21,6571.63,4889.51,7195.1
150016,5232.1,2671.54,6505.38,6555.46,4896.85,7164.78
150528,5186.22,2866.51,6558.6,6274.24,4912.22,7180.61
151040,5150.28,2834.6,6507.18,6592.96,4899.42,7210.8
151552,5092,2877.73,6591.17,6603.22,4967.39,7146.52
152064,5239.15,2710.44,6642.52,6657.16,4999.29,7262.6
152576,5065.02,2723.23,6601.99,6623.63,4995.46,7278.3
153088,5181.58,2753.4,6614.54,6624.14,5005.35,7279.42
153600,5252.6,2742.74,6660.8,6682.68,5020.71,7186.24
154112,5249.02,2715.28,6656.37,6680.58,4999.07,7264.37
154624,5266.46,2818.44,6578.38,6371.45,4782.72,7297.16
155136,5247.92,2741.02,6626.17,6674,4958.08,7278.1
155648,5245.88,2875.36,6603.09,6667.15,5003.96,7172.28
156160,5294.57,2842.09,6629.53,6432.52,4961.55,7246.29
156672,5230.12,2884.89,6574.01,6689.38,5049.14,7304.17
157184,5253.1,2762.46,6654.05,6752.36,5035.69,7319.45
157696,5331.49,2792.04,6680.46,6762.17,5071.17,7280.72
158208,5184.13,2801.94,6685.52,6774.38,5100.02,7276.18
158720,5395.18,2803.51,6690.56,6728.63,5057.71,7311.01
159232,5415.67,2813.81,6840.34,6774.42,4781.34,7258.87
159744,5322.24,2765.86,6674.72,6738.49,5039.16,7341.16
160256,5287.57,2780.79,6724.39,7104.5,5127.22,7430.57
160768,5395.56,2756.77,6545.44,6656.84,5042.1,7326.09
161280,5389.98,2816.59,6788.87,6825.02,5106.53,7327.01
161792,5417.73,2858.62,6820.05,6774.54,5101.06,7441.01
162304,5451.72,2800.83,6402.43,6755.64,5111.8,7438.73
162816,5400.44,2776.31,6706.7,6610.76,5099.63,7476.57
163328,5456.9,2828.74,6661.04,6774.6,5053.26,7333.41
163840,5277.29,2950.79,7018.06,6758.22,5077.01,7431.98
164352,5312.44,2960.01,6716.59,6852.85,5127.53,7376.61
164864,5435.1,3015.24,5804.29,6805.17,5022.57,7399.59
165376,5209.92,2954.79,6710.13,6816.86,5120.61,7453.44
165888,5382.52,2879.77,6726.32,6795.67,5125.81,7445.55
166400,5497.9,2890.34,6870.95,6875.71,5210.51,7443.31
166912,5516.35,2849.82,6435.14,6816.53,5142.79,7402.33
167424,5447.19,2874.21,6846.83,6635.14,5139.97,7422.27
167936,5412.15,2820.45,6865.41,6927.17,5174.34,7436.68
168448,5374.88,2842.66,6883.98,6910.04,5225.23,7382.56
168960,5369.66,2799.78,6786.25,6772.56,5168.49,7549.33
